,lobbyist_cleanname,paid_to_sub
0,5280 Strategies,269583.4
23,"JLH Consulting & Public Affairs, Llc",116394.01
14,David Foster,99999.96
26,"Lombard & Clayton, Inc.",89199.96
19,Gold Dome Access,66000.0
32,Peak Government Affairs,62376.0
31,Pat Ratliff,54888.0
9,"Christopher The Howes Group, Llc",54415.64
6,Brandeberry Mckenna Public Affairs,51660.0
24,Jake Zambrano,47292.0
8,Capitoline Consulting Llc,35380.27
16,Ellen Caruso,35000.0
30,Ontheballot Consulting,29416.3
4,Betsy Murray,26000.0
11,Colorado Advocates,25000.0
17,Gayle G Berry Corp,23499.97
36,"Siegel Public Affairs, Llc",18250.0
7,"Capitol Focus, Llc",18000.0
12,Colorado Consulting,16500.0
42,Young Public Affairs Llc,15000.0
35,"Schultz Public Affairs, Llc",13750.0
34,"Political Advocacy, Inc.",12000.0
40,Totsy Rees Consulting And Public Affairs,11630.27
21,Hudson Government Affairs,10000.0
22,"J. Andrew Green & Assoc., Inc.",10000.0
15,Edie Sonn,10000.0
29,Nolbert Chavez,10000.0
27,Loren Furman Political Strategies,9499.33
2,Anne Mcgihon,9000.0
28,Mary Alice Mandarich,8750.0
33,Peter Kirchhof Group Inc.,8000.0
3,Attwood Public Affairs,7500.0
20,Hicks & Associates,7500.0
13,Colorado Winning Edge,7500.0
39,Steven Delbianco,7099.7
25,Kathleen Oatis,6250.0
41,William Mutch Government Relations,6000.0
10,Collective Strategies,5500.0
18,Gilbert Capitol Success Group,5000.0
37,Sovine Miller & Company,4500.0
38,Stephanie Fransen,3332.0
1,Ackerman Information Corp,3125.0
5,Bowditch & Cassell Public Affairs,1000.0
